id,name,price,type
31,item23,31000,4
32,item24,32000,4
33,item25,33000,4
34,item26,34000,4
35,item27,35000,4
36,item28,36000,4
37,item29,37000,4
38,item30,38000,4
39,item31,39000,4
40,item32,40000,4
41,item33,41000,5
42,item34,42000,5
43,item35,43000,5
44,item36,44000,5
45,item37,45000,5
46,item38,46000,5
47,item39,47000,5
48,item40,48000,5
49,item41,49000,5
50,item42,50000,5
51,item43,51000,6
52,item44,52000,6
53,item45,53000,6
54,item46,54000,6
55,item47,55000,6
56,item48,56000,6
57,item49,57000,6
58,item50,58000,6
59,item51,59000,6
60,item52,60000,6
